x,beta,se,outcome,iter,placebo
2,-9.745280831120851,NA,building_footprint,71,1
3,-12.292490031742302,NA,building_footprint,71,1
0,0,0,building_footprint,72,1
1,2.826846414671328,NA,building_footprint,72,1
2,1.7511708763520297,NA,building_footprint,72,1
3,-0.057008898580305084,NA,building_footprint,72,1
0,0,0,building_footprint,73,1
1,19.470497267582193,NA,building_footprint,73,1
2,9.201258036924301,NA,building_footprint,73,1
3,5.70859860771068,NA,building_footprint,73,1
0,0,0,building_footprint,74,1
1,4.0781655753945225,NA,building_footprint,74,1
2,7.417387958465568,NA,building_footprint,74,1
3,-5.421542822343362,NA,building_footprint,74,1
0,0,0,building_footprint,75,1
1,0.25739518654781945,NA,building_footprint,75,1
2,-0.5802739744183659,NA,building_footprint,75,1
3,-14.163452904168805,NA,building_footprint,75,1
0,0,0,building_footprint,76,1
1,-3.5326951044583774,NA,building_footprint,76,1
2,-4.962876300572915,NA,building_footprint,76,1
3,-0.9110944965478579,NA,building_footprint,76,1
0,0,0,building_footprint,77,1
1,4.070661503962175,NA,building_footprint,77,1
2,13.830978922295795,NA,building_footprint,77,1
3,-15.913833719147664,NA,building_footprint,77,1
0,0,0,building_footprint,78,1
1,1.8223521672403034,NA,building_footprint,78,1
2,-3.4914631907921083,NA,building_footprint,78,1
3,2.2519106849541153,NA,building_footprint,78,1
0,0,0,building_footprint,79,1
1,7.3820332312628905,NA,building_footprint,79,1
2,0.4513652321885214,NA,building_footprint,79,1
3,6.678960160107907,NA,building_footprint,79,1
0,0,0,building_footprint,80,1
1,9.0246452279659,NA,building_footprint,80,1
2,-4.692156849969563,NA,building_footprint,80,1
3,-15.784569552062214,NA,building_footprint,80,1
0,0,0,building_footprint,81,1
1,7.198730679344649,NA,building_footprint,81,1
2,-9.721529705883997,NA,building_footprint,81,1
3,-13.975828657623886,NA,building_footprint,81,1
0,0,0,building_footprint,82,1
1,-2.603150571411684,NA,building_footprint,82,1
2,10.833058814706122,NA,building_footprint,82,1
3,20.706311000730086,NA,building_footprint,82,1
0,0,0,building_footprint,83,1
1,6.366221809117643,NA,building_footprint,83,1
2,-11.581874385429758,NA,building_footprint,83,1
3,-4.783450294728639,NA,building_footprint,83,1
0,0,0,building_footprint,84,1
1,-4.008307551578549,NA,building_footprint,84,1
2,-5.95991005830289,NA,building_footprint,84,1
3,-2.4936389532045875,NA,building_footprint,84,1
0,0,0,building_footprint,85,1
1,4.909960116993104,NA,building_footprint,85,1
2,-4.810079417721276,NA,building_footprint,85,1
3,-3.3907832530193476,NA,building_footprint,85,1
0,0,0,building_footprint,86,1
1,2.682323856953998,NA,building_footprint,86,1
2,-5.128123772928731,NA,building_footprint,86,1
3,6.291213958248292,NA,building_footprint,86,1
0,0,0,building_footprint,87,1
1,-9.864416141282952,NA,building_footprint,87,1
2,-14.580560917777058,NA,building_footprint,87,1
3,-12.679173799313466,NA,building_footprint,87,1
0,0,0,building_footprint,88,1
1,1.2268358103618067,NA,building_footprint,88,1
2,-5.5957785801949775,NA,building_footprint,88,1
3,4.458129688573372,NA,building_footprint,88,1
0,0,0,building_footprint,89,1
1,0.5338854049335191,NA,building_footprint,89,1
2,-1.8691436290745824,NA,building_footprint,89,1
3,-5.380245618888761,NA,building_footprint,89,1
0,0,0,building_footprint,90,1
1,11.747012852658367,NA,building_footprint,90,1
2,10.117998898590026,NA,building_footprint,90,1
3,9.31030727885051,NA,building_footprint,90,1
0,0,0,building_footprint,91,1
1,9.672897821027178,NA,building_footprint,91,1
2,9.965133791113823,NA,building_footprint,91,1
3,11.42837960488902,NA,building_footprint,91,1
0,0,0,building_footprint,92,1
1,-7.1828146810833005,NA,building_footprint,92,1
2,-3.343462927827491,NA,building_footprint,92,1
3,-5.641634034242635,NA,building_footprint,92,1
0,0,0,building_footprint,93,1
1,-13.663355731370595,NA,building_footprint,93,1
2,4.647737790451182,NA,building_footprint,93,1
3,5.497027860561631,NA,building_footprint,93,1
0,0,0,building_footprint,94,1
1,-4.031687042883145,NA,building_footprint,94,1
2,-1.3053263318933748,NA,building_footprint,94,1
3,5.097595628751244,NA,building_footprint,94,1
0,0,0,building_footprint,95,1
1,6.041626111972542,NA,building_footprint,95,1
2,1.4655417129829829,NA,building_footprint,95,1
3,-2.3112990103548623,NA,building_footprint,95,1
0,0,0,building_footprint,96,1
1,5.197787196423509,NA,building_footprint,96,1
2,-11.837213560046083,NA,building_footprint,96,1
3,2.6772650659136623,NA,building_footprint,96,1
0,0,0,building_footprint,97,1
1,-7.952554637547892,NA,building_footprint,97,1
2,-2.4228790229366077,NA,building_footprint,97,1
3,7.570663560586757,NA,building_footprint,97,1
0,0,0,building_footprint,98,1
1,-4.782154003999157,NA,building_footprint,98,1
2,-17.171776699113106,NA,building_footprint,98,1
3,-15.969329819109866,NA,building_footprint,98,1
0,0,0,building_footprint,99,1
1,1.2401920220450886,NA,building_footprint,99,1
2,-16.216046947862772,NA,building_footprint,99,1
